temperature,current,voltage,esp_status,label
35.04,1.001,3.315,DISCONNECTED,CRITICAL
2.47,0.73,3.305,CONNECTED,CRITICAL
25.04,0.622,3.605,CONNECTED,WARNING
25.6,1.081,3.36,CONNECTED,CRITICAL
29.34,1.215,3.791,DISCONNECTED,CRITICAL
6.46,0.624,3.942,CONNECTED,NORMAL
15.52,0.801,3.591,CONNECTED,WARNING
24.54,1.456,3.429,CONNECTED,CRITICAL
33.44,0.525,3.644,DISCONNECTED,CRITICAL
23.56,0.606,3.312,CONNECTED,CRITICAL
16.25,1.466,3.677,CONNECTED,CRITICAL
33.72,1.304,3.574,DISCONNECTED,CRITICAL
28.68,0.518,3.287,CONNECTED,CRITICAL
30.2,1.297,3.386,DISCONNECTED,CRITICAL
20.05,1.106,3.894,CONNECTED,WARNING
22.51,0.913,3.499,CONNECTED,CRITICAL
16.48,1.152,3.894,CONNECTED,WARNING
17.43,0.748,3.389,CONNECTED,CRITICAL
27.36,1.317,3.284,CONNECTED,CRITICAL
4.26,1.094,3.317,CONNECTED,CRITICAL
30.04,0.81,3.315,DISCONNECTED,CRITICAL
33.31,0.666,3.428,DISCONNECTED,CRITICAL
7.22,0.615,3.217,CONNECTED,CRITICAL
3.88,0.675,3.243,CONNECTED,CRITICAL
22.1,1.181,3.515,CONNECTED,WARNING
12.81,1.005,3.9,CONNECTED,WARNING
30.94,0.543,3.345,DISCONNECTED,CRITICAL
10.05,0.749,3.657,CONNECTED,WARNING
16.15,0.549,3.499,CONNECTED,CRITICAL
19.81,0.602,3.867,CONNECTED,NORMAL
3.77,1.425,3.279,CONNECTED,CRITICAL
30.68,1.403,3.984,DISCONNECTED,CRITICAL
29.27,1.279,3.714,DISCONNECTED,CRITICAL
28.49,0.635,3.629,CONNECTED,WARNING
19.48,1.358,3.57,CONNECTED,CRITICAL
15.09,1.14,3.413,CONNECTED,CRITICAL
6.75,0.978,3.534,CONNECTED,WARNING
9.91,0.868,3.493,CONNECTED,CRITICAL
13.13,0.879,3.749,CONNECTED,NORMAL
12.09,1.449,3.933,CONNECTED,CRITICAL
18.35,0.828,3.628,CONNECTED,WARNING
30.85,1.153,3.844,DISCONNECTED,WARNING
20.11,1.133,3.431,CONNECTED,CRITICAL
26.99,0.702,3.756,CONNECTED,NORMAL
31.26,0.632,3.692,DISCONNECTED,WARNING
5.23,1.226,3.268,CONNECTED,CRITICAL
33.82,0.637,3.967,DISCONNECTED,CRITICAL
29.23,1.094,3.826,DISCONNECTED,WARNING
29.03,1.446,3.403,DISCONNECTED,CRITICAL
22.06,0.595,3.693,CONNECTED,WARNING
7.82,1.065,3.658,CONNECTED,WARNING
17.84,1.023,3.811,CONNECTED,WARNING
29.17,0.992,3.68,DISCONNECTED,WARNING
33.66,0.62,3.294,DISCONNECTED,CRITICAL
4.98,1.158,3.535,CONNECTED,WARNING
28.33,1.171,3.467,CONNECTED,CRITICAL
32.54,1.263,3.416,DISCONNECTED,CRITICAL
14.38,0.814,3.326,CONNECTED,CRITICAL
7.02,1.436,3.55,CONNECTED,CRITICAL
15.03,1.23,3.642,CONNECTED,CRITICAL
33.83,1.28,3.583,DISCONNECTED,CRITICAL
14.8,1.487,3.774,CONNECTED,CRITICAL
34.34,0.618,3.88,DISCONNECTED,CRITICAL
23.66,0.622,3.671,CONNECTED,WARNING
25.33,0.512,3.563,CONNECTED,WARNING
30.06,0.795,3.567,DISCONNECTED,WARNING
17.04,0.802,3.935,CONNECTED,NORMAL
28.56,0.611,3.998,CONNECTED,NORMAL
31.89,0.784,3.87,DISCONNECTED,WARNING
5.62,1.499,3.733,CONNECTED,CRITICAL
24.1,0.59,3.918,CONNECTED,NORMAL
2.99,0.741,3.314,CONNECTED,CRITICAL
28.41,0.698,3.929,CONNECTED,NORMAL
24.31,0.536,3.204,CONNECTED,CRITICAL
3.76,1.106,3.841,CONNECTED,WARNING
10.11,1.349,3.246,CONNECTED,CRITICAL
29.23,1.428,3.818,DISCONNECTED,CRITICAL
25.74,1.338,3.232,CONNECTED,CRITICAL
8.86,0.625,3.604,CONNECTED,WARNING
27.34,1.13,3.881,CONNECTED,WARNING
7.28,1.235,3.354,CONNECTED,CRITICAL
11.21,1.21,3.984,CONNECTED,CRITICAL
22.79,0.555,3.693,CONNECTED,WARNING
3.44,1.384,3.768,CONNECTED,CRITICAL
7.89,0.592,3.347,CONNECTED,CRITICAL
35.32,0.959,3.827,DISCONNECTED,CRITICAL
23.64,1.072,3.316,CONNECTED,CRITICAL
34.16,0.801,3.662,DISCONNECTED,CRITICAL
25.79,1.149,3.952,CONNECTED,WARNING
7.05,1.008,3.523,CONNECTED,WARNING
18.12,0.619,3.307,CONNECTED,CRITICAL
11.45,0.805,3.542,CONNECTED,WARNING
22.77,1.135,3.529,CONNECTED,WARNING
15.9,0.718,3.671,CONNECTED,WARNING
12.78,0.536,3.535,CONNECTED,WARNING
18.12,0.726,3.658,CONNECTED,WARNING
21.24,1.202,3.718,CONNECTED,CRITICAL
24.18,0.816,3.83,CONNECTED,NORMAL
20.67,0.931,3.701,CONNECTED,NORMAL
14.26,1.013,3.789,CONNECTED,WARNING
32.14,1.421,3.603,DISCONNECTED,CRITICAL
19.69,1.3,3.452,CONNECTED,CRITICAL
30.47,0.994,3.293,DISCONNECTED,CRITICAL
4.45,1.342,3.244,CONNECTED,CRITICAL
11.54,0.834,3.338,CONNECTED,CRITICAL
12.67,1.243,3.212,CONNECTED,CRITICAL
30.12,1.357,3.498,DISCONNECTED,CRITICAL
7.22,1.101,3.296,CONNECTED,CRITICAL
14.41,1.458,3.996,CONNECTED,CRITICAL
28.25,0.811,3.75,CONNECTED,NORMAL
25.98,0.888,3.713,CONNECTED,NORMAL
2.36,0.709,3.62,CONNECTED,WARNING
7.57,0.666,3.869,CONNECTED,NORMAL
35.63,1.056,3.871,DISCONNECTED,CRITICAL
35.67,0.642,3.559,DISCONNECTED,CRITICAL
15.35,0.58,3.804,CONNECTED,NORMAL
16.75,0.969,3.321,CONNECTED,CRITICAL
8.15,1.407,3.236,CONNECTED,CRITICAL
9.92,0.792,3.592,CONNECTED,WARNING
21.94,0.993,3.267,CONNECTED,CRITICAL
10.28,1.344,3.71,CONNECTED,CRITICAL
24.07,1.17,3.81,CONNECTED,WARNING
3.98,0.867,3.632,CONNECTED,WARNING
13.51,1.344,3.586,CONNECTED,CRITICAL
28.13,1.352,3.604,CONNECTED,CRITICAL
32.92,1.087,3.88,DISCONNECTED,WARNING
13.58,0.999,3.625,CONNECTED,WARNING
5.57,0.899,3.934,CONNECTED,NORMAL
23.45,0.678,3.471,CONNECTED,CRITICAL
8.51,0.525,3.942,CONNECTED,NORMAL
17.24,0.808,3.679,CONNECTED,WARNING
2.25,0.778,3.762,CONNECTED,NORMAL
23.55,1.482,3.696,CONNECTED,CRITICAL
18.24,1.261,3.923,CONNECTED,CRITICAL
26.5,1.463,3.826,CONNECTED,CRITICAL
31.47,0.614,3.786,DISCONNECTED,WARNING
16.96,1.053,3.723,CONNECTED,WARNING
34.97,1.485,3.431,DISCONNECTED,CRITICAL
26.95,1.25,3.477,CONNECTED,CRITICAL
6.21,0.541,3.822,CONNECTED,NORMAL
18.65,1.486,3.572,CONNECTED,CRITICAL
35.25,0.912,3.835,DISCONNECTED,CRITICAL
4.88,1.055,3.842,CONNECTED,WARNING
33.44,1.323,3.23,DISCONNECTED,CRITICAL
14.67,0.549,3.287,CONNECTED,CRITICAL
24.96,1.213,3.819,CONNECTED,CRITICAL
31.43,1.239,3.841,DISCONNECTED,CRITICAL
3.66,0.735,3.698,CONNECTED,WARNING
31.18,0.505,3.612,DISCONNECTED,WARNING
25.03,0.53,3.521,CONNECTED,WARNING
32.45,1.172,3.39,DISCONNECTED,CRITICAL
30.99,0.848,3.883,DISCONNECTED,WARNING
12.16,1.09,3.518,CONNECTED,WARNING
11.34,1.387,3.35,CONNECTED,CRITICAL
4.88,0.842,3.774,CONNECTED,NORMAL
29.45,1.499,3.437,DISCONNECTED,CRITICAL
15.87,0.637,3.66,CONNECTED,WARNING
35.92,1.201,3.676,DISCONNECTED,CRITICAL
15.34,1.415,3.598,CONNECTED,CRITICAL
6.57,0.865,3.254,CONNECTED,CRITICAL
8.87,0.518,3.563,CONNECTED,WARNING
23.57,0.843,3.536,CONNECTED,WARNING
34.61,1.252,3.633,DISCONNECTED,CRITICAL
11.67,1.397,3.388,CONNECTED,CRITICAL
13.06,1.409,3.624,CONNECTED,CRITICAL
27.24,1.091,3.723,CONNECTED,WARNING
12.18,0.741,3.458,CONNECTED,CRITICAL
7.29,1.374,3.427,CONNECTED,CRITICAL
21.09,1.292,3.827,CONNECTED,CRITICAL
16.91,0.976,3.996,CONNECTED,NORMAL
24.94,1.315,3.922,CONNECTED,CRITICAL
28.78,0.685,3.65,CONNECTED,WARNING
5.46,1.153,3.964,CONNECTED,WARNING
19.43,0.933,3.229,CONNECTED,CRITICAL
34.63,0.603,3.233,DISCONNECTED,CRITICAL
10.37,0.566,3.564,CONNECTED,WARNING
19.55,0.813,3.241,CONNECTED,CRITICAL
5.79,0.885,3.248,CONNECTED,CRITICAL
25.74,0.707,3.442,CONNECTED,CRITICAL
15.4,0.917,3.201,CONNECTED,CRITICAL
5.81,1.363,3.201,CONNECTED,CRITICAL
19.28,0.99,3.466,CONNECTED,CRITICAL
16.67,1.281,3.873,CONNECTED,CRITICAL
10.85,0.822,3.394,CONNECTED,CRITICAL
18.32,1.183,3.383,CONNECTED,CRITICAL
13.25,1.43,3.239,CONNECTED,CRITICAL
17.67,1.212,3.32,CONNECTED,CRITICAL
3.61,0.638,3.935,CONNECTED,NORMAL
2.31,0.688,3.225,CONNECTED,CRITICAL
5.76,1.12,3.393,CONNECTED,CRITICAL
21.35,1.09,3.88,CONNECTED,WARNING
2.16,1.353,3.695,CONNECTED,CRITICAL
7.53,1.273,3.884,CONNECTED,CRITICAL
10.64,1.419,3.564,CONNECTED,CRITICAL
22.52,1.485,3.489,CONNECTED,CRITICAL
29.65,0.818,3.839,DISCONNECTED,WARNING
22.42,0.716,3.531,CONNECTED,WARNING
12.8,0.578,3.224,CONNECTED,CRITICAL
13.78,0.519,3.332,CONNECTED,CRITICAL
26.66,1.208,3.791,CONNECTED,CRITICAL
12.78,1.39,3.675,CONNECTED,CRITICAL
6.28,0.644,3.754,CONNECTED,NORMAL
7.88,1.007,3.993,CONNECTED,WARNING
2.14,0.517,3.994,CONNECTED,NORMAL
21.88,0.627,3.918,CONNECTED,NORMAL
31.93,1.036,3.697,DISCONNECTED,WARNING
11.29,0.551,3.676,CONNECTED,WARNING
12.02,1.164,3.869,CONNECTED,WARNING
2.62,1.096,3.385,CONNECTED,CRITICAL
31.71,0.754,3.689,DISCONNECTED,WARNING
20.82,0.896,3.742,CONNECTED,NORMAL
26.68,1.067,3.807,CONNECTED,WARNING
35.44,0.919,3.612,DISCONNECTED,CRITICAL
2.42,1.296,3.616,CONNECTED,CRITICAL
15.87,0.594,3.912,CONNECTED,NORMAL
15.43,1.183,3.319,CONNECTED,CRITICAL
34.69,0.678,3.36,DISCONNECTED,CRITICAL
31.21,1.413,3.37,DISCONNECTED,CRITICAL
17.97,1.233,3.903,CONNECTED,CRITICAL
14.89,1.017,3.793,CONNECTED,WARNING
26.86,1.283,3.656,CONNECTED,CRITICAL
5.56,1.404,3.892,CONNECTED,CRITICAL
29.14,0.6,3.364,DISCONNECTED,CRITICAL
27.28,0.523,3.983,CONNECTED,NORMAL
14.82,1.219,3.91,CONNECTED,CRITICAL
15.42,0.819,3.687,CONNECTED,WARNING
21.75,0.909,3.681,CONNECTED,WARNING
33.8,0.968,3.357,DISCONNECTED,CRITICAL
14.83,0.894,3.305,CONNECTED,CRITICAL
7.54,1.185,3.472,CONNECTED,CRITICAL
34.47,0.744,3.279,DISCONNECTED,CRITICAL
27.62,1.381,3.422,CONNECTED,CRITICAL
8.87,0.686,3.618,CONNECTED,WARNING
17.93,0.759,3.236,CONNECTED,CRITICAL
18.37,1.459,3.722,CONNECTED,CRITICAL
18.85,0.611,3.402,CONNECTED,CRITICAL
12.02,1.265,3.901,CONNECTED,CRITICAL
32.66,1.485,3.986,DISCONNECTED,CRITICAL
34.4,0.572,3.31,DISCONNECTED,CRITICAL
12.35,1.053,3.278,CONNECTED,CRITICAL
30.76,1.117,3.634,DISCONNECTED,WARNING
7.62,0.753,3.328,CONNECTED,CRITICAL
30.97,1.084,3.788,DISCONNECTED,WARNING
12.07,0.871,3.524,CONNECTED,WARNING
27.84,1.272,3.365,CONNECTED,CRITICAL
34.01,0.621,3.917,DISCONNECTED,CRITICAL
5.41,0.765,3.877,CONNECTED,NORMAL
8.1,0.914,3.56,CONNECTED,WARNING
10.34,1.21,3.881,CONNECTED,CRITICAL
31.74,0.839,3.625,DISCONNECTED,WARNING
10.45,0.745,3.329,CONNECTED,CRITICAL
33.96,1.388,3.822,DISCONNECTED,CRITICAL
19.6,0.991,3.624,CONNECTED,WARNING
20.24,0.935,3.305,CONNECTED,CRITICAL
6.27,1.452,3.586,CONNECTED,CRITICAL
34.41,0.664,3.644,DISCONNECTED,CRITICAL
9.06,0.753,3.224,CONNECTED,CRITICAL
6.04,1.417,3.457,CONNECTED,CRITICAL
22.68,0.965,3.52,CONNECTED,WARNING
20.08,0.687,3.991,CONNECTED,NORMAL
29.82,1.242,3.575,DISCONNECTED,CRITICAL
7.2,1.421,3.473,CONNECTED,CRITICAL
3.7,0.842,3.836,CONNECTED,NORMAL
23.17,1.251,3.835,CONNECTED,CRITICAL
9.21,1.424,3.55,CONNECTED,CRITICAL
23.73,0.502,3.995,CONNECTED,NORMAL
11.55,0.562,3.567,CONNECTED,WARNING
6.39,0.652,3.706,CONNECTED,NORMAL
15.36,1.422,3.455,CONNECTED,CRITICAL
26.69,0.961,3.728,CONNECTED,NORMAL
22.39,0.973,3.96,CONNECTED,NORMAL
13.65,0.677,3.742,CONNECTED,NORMAL
30.76,0.54,3.56,DISCONNECTED,WARNING
32.34,1.25,3.993,DISCONNECTED,CRITICAL
20.07,1.16,3.442,CONNECTED,CRITICAL
34.22,0.866,3.791,DISCONNECTED,CRITICAL
15.71,1.062,3.776,CONNECTED,WARNING
19.3,1.407,3.535,CONNECTED,CRITICAL
24.0,0.842,3.527,CONNECTED,WARNING
16.96,0.626,3.273,CONNECTED,CRITICAL
24.69,1.156,3.73,CONNECTED,WARNING
2.67,0.827,3.358,CONNECTED,CRITICAL
28.46,1.361,3.397,CONNECTED,CRITICAL
24.71,0.629,3.42,CONNECTED,CRITICAL
6.71,0.784,3.74,CONNECTED,NORMAL
32.95,0.703,3.634,DISCONNECTED,WARNING
25.85,1.453,3.688,CONNECTED,CRITICAL
10.67,1.125,3.456,CONNECTED,CRITICAL
35.19,0.9,3.748,DISCONNECTED,CRITICAL
2.79,0.9,3.9,CONNECTED,NORMAL
22.75,0.944,3.949,CONNECTED,NORMAL
31.04,0.822,3.636,DISCONNECTED,WARNING
18.65,1.132,3.467,CONNECTED,CRITICAL
10.3,1.413,3.939,CONNECTED,CRITICAL
30.67,1.478,3.796,DISCONNECTED,CRITICAL
28.0,1.263,3.584,CONNECTED,CRITICAL
17.52,0.74,3.716,CONNECTED,NORMAL
11.84,0.758,3.669,CONNECTED,WARNING
15.94,0.719,3.853,CONNECTED,NORMAL
31.26,0.668,3.206,DISCONNECTED,CRITICAL
13.43,1.298,3.871,CONNECTED,CRITICAL
6.7,1.274,3.293,CONNECTED,CRITICAL
15.26,1.499,3.354,CONNECTED,CRITICAL
7.23,0.923,3.696,CONNECTED,WARNING
33.72,1.481,3.256,DISCONNECTED,CRITICAL
6.69,1.291,3.417,CONNECTED,CRITICAL
32.08,1.163,3.289,DISCONNECTED,CRITICAL
30.31,0.676,3.539,DISCONNECTED,WARNING
20.77,1.001,3.749,CONNECTED,WARNING
24.19,1.492,4.0,CONNECTED,CRITICAL
19.56,0.595,3.782,CONNECTED,NORMAL
35.21,0.818,3.569,DISCONNECTED,CRITICAL
16.44,0.551,3.738,CONNECTED,NORMAL
14.01,1.287,3.866,CONNECTED,CRITICAL
29.92,0.917,3.457,DISCONNECTED,CRITICAL
27.46,1.301,3.593,CONNECTED,CRITICAL
32.36,0.644,3.903,DISCONNECTED,WARNING
5.27,0.654,3.627,CONNECTED,WARNING
4.3,0.553,3.2,CONNECTED,CRITICAL
16.83,1.275,3.228,CONNECTED,CRITICAL
24.18,1.323,3.334,CONNECTED,CRITICAL
6.99,1.361,3.858,CONNECTED,CRITICAL
20.32,1.319,3.274,CONNECTED,CRITICAL
15.41,1.238,3.406,CONNECTED,CRITICAL
27.58,1.004,3.8,CONNECTED,WARNING
17.8,0.868,3.375,CONNECTED,CRITICAL
9.08,1.251,3.295,CONNECTED,CRITICAL
4.92,0.676,3.34,CONNECTED,CRITICAL
29.99,0.899,3.992,DISCONNECTED,WARNING
6.67,1.154,3.559,CONNECTED,WARNING
15.36,1.375,3.98,CONNECTED,CRITICAL
31.68,0.692,3.377,DISCONNECTED,CRITICAL
24.31,0.789,3.788,CONNECTED,NORMAL
21.26,1.051,3.863,CONNECTED,WARNING
26.16,0.527,3.24,CONNECTED,CRITICAL
22.45,0.986,3.408,CONNECTED,CRITICAL
16.23,1.258,3.861,CONNECTED,CRITICAL
21.08,0.885,3.417,CONNECTED,CRITICAL
19.75,0.815,3.651,CONNECTED,WARNING
25.01,0.566,3.201,CONNECTED,CRITICAL
9.22,1.395,3.717,CONNECTED,CRITICAL
7.85,1.39,3.576,CONNECTED,CRITICAL
18.19,1.436,3.248,CONNECTED,CRITICAL
9.32,1.086,3.356,CONNECTED,CRITICAL
25.1,0.714,3.279,CONNECTED,CRITICAL
9.04,0.923,3.341,CONNECTED,CRITICAL
6.58,1.36,3.456,CONNECTED,CRITICAL
14.27,0.555,3.486,CONNECTED,CRITICAL
11.0,1.11,3.364,CONNECTED,CRITICAL
32.2,1.43,3.28,DISCONNECTED,CRITICAL
5.65,0.615,3.696,CONNECTED,WARNING
6.15,1.352,3.803,CONNECTED,CRITICAL
29.87,1.026,3.997,DISCONNECTED,WARNING
3.5,0.901,3.459,CONNECTED,CRITICAL
34.25,1.077,3.845,DISCONNECTED,CRITICAL
7.79,1.479,3.599,CONNECTED,CRITICAL
18.78,1.471,3.505,CONNECTED,CRITICAL
15.52,1.085,3.302,CONNECTED,CRITICAL
12.92,0.693,3.283,CONNECTED,CRITICAL
31.45,1.089,3.487,DISCONNECTED,CRITICAL
15.89,0.932,3.707,CONNECTED,NORMAL
33.51,1.433,3.513,DISCONNECTED,CRITICAL
13.19,0.951,3.654,CONNECTED,WARNING
17.7,1.159,3.644,CONNECTED,WARNING
12.9,0.846,3.503,CONNECTED,WARNING
5.22,0.666,3.778,CONNECTED,NORMAL
15.23,0.715,3.65,CONNECTED,WARNING
27.69,0.757,3.861,CONNECTED,NORMAL
33.54,1.097,3.735,DISCONNECTED,CRITICAL
3.79,1.446,3.514,CONNECTED,CRITICAL
33.41,1.079,3.204,DISCONNECTED,CRITICAL
3.31,1.18,3.65,CONNECTED,WARNING
2.9,1.243,3.882,CONNECTED,CRITICAL
18.88,0.966,3.204,CONNECTED,CRITICAL
28.75,0.831,3.903,CONNECTED,NORMAL
14.68,1.065,3.416,CONNECTED,CRITICAL
7.46,1.275,3.597,CONNECTED,CRITICAL
20.24,1.465,3.971,CONNECTED,CRITICAL
31.09,0.688,3.675,DISCONNECTED,WARNING
31.86,0.874,3.281,DISCONNECTED,CRITICAL
29.57,0.982,3.652,DISCONNECTED,WARNING
35.39,1.107,3.54,DISCONNECTED,CRITICAL
14.58,0.918,3.295,CONNECTED,CRITICAL
29.02,1.338,3.428,DISCONNECTED,CRITICAL
12.33,1.374,3.219,CONNECTED,CRITICAL
19.7,0.964,3.752,CONNECTED,NORMAL
7.56,1.168,3.501,CONNECTED,WARNING
23.04,0.54,3.569,CONNECTED,WARNING
19.76,0.714,3.312,CONNECTED,CRITICAL
8.41,0.844,3.277,CONNECTED,CRITICAL
34.21,0.905,3.847,DISCONNECTED,CRITICAL
35.13,0.581,3.721,DISCONNECTED,CRITICAL
31.63,1.134,3.543,DISCONNECTED,WARNING
16.66,0.536,3.628,CONNECTED,WARNING
35.78,1.459,3.232,DISCONNECTED,CRITICAL
26.0,0.802,3.922,CONNECTED,NORMAL
3.53,1.436,3.87,CONNECTED,CRITICAL
6.0,0.56,3.868,CONNECTED,NORMAL
7.3,1.035,3.933,CONNECTED,WARNING
21.29,0.897,3.556,CONNECTED,WARNING
4.15,1.469,3.449,CONNECTED,CRITICAL
8.44,0.786,3.971,CONNECTED,NORMAL
5.21,1.367,3.766,CONNECTED,CRITICAL
30.22,1.476,3.874,DISCONNECTED,CRITICAL
34.07,0.627,3.837,DISCONNECTED,CRITICAL
20.55,1.043,3.919,CONNECTED,WARNING
35.04,1.205,3.586,DISCONNECTED,CRITICAL
17.52,0.886,3.489,CONNECTED,CRITICAL
15.31,0.59,3.262,CONNECTED,CRITICAL
28.52,0.946,3.945,CONNECTED,NORMAL
22.82,0.535,3.326,CONNECTED,CRITICAL
9.0,1.476,3.375,CONNECTED,CRITICAL
19.54,1.436,3.982,CONNECTED,CRITICAL
10.04,0.549,3.323,CONNECTED,CRITICAL
4.15,0.695,3.655,CONNECTED,WARNING
33.02,1.037,3.701,DISCONNECTED,CRITICAL
8.86,1.301,3.694,CONNECTED,CRITICAL
31.38,1.449,3.478,DISCONNECTED,CRITICAL
5.08,0.726,3.55,CONNECTED,WARNING
34.15,0.878,3.817,DISCONNECTED,CRITICAL
20.38,0.683,3.457,CONNECTED,CRITICAL
24.21,1.173,3.548,CONNECTED,WARNING
9.77,1.222,3.335,CONNECTED,CRITICAL
33.85,0.688,3.286,DISCONNECTED,CRITICAL
18.92,1.02,3.607,CONNECTED,WARNING
16.85,1.495,3.589,CONNECTED,CRITICAL
18.25,0.922,3.253,CONNECTED,CRITICAL
22.16,0.728,3.71,CONNECTED,NORMAL
3.73,1.481,3.575,CONNECTED,CRITICAL
32.49,0.976,3.248,DISCONNECTED,CRITICAL
29.96,1.148,3.825,DISCONNECTED,WARNING
16.56,1.138,3.885,CONNECTED,WARNING
23.46,0.848,3.73,CONNECTED,NORMAL
24.84,1.461,3.497,CONNECTED,CRITICAL
16.45,1.312,3.605,CONNECTED,CRITICAL
27.04,0.96,3.372,CONNECTED,CRITICAL
27.34,0.631,3.359,CONNECTED,CRITICAL
23.31,1.247,3.916,CONNECTED,CRITICAL
11.27,0.611,3.965,CONNECTED,NORMAL
7.25,0.698,3.433,CONNECTED,CRITICAL
20.0,1.383,3.808,CONNECTED,CRITICAL
26.08,0.675,3.486,CONNECTED,CRITICAL
18.27,0.647,3.419,CONNECTED,CRITICAL
12.48,0.627,3.64,CONNECTED,WARNING
25.97,0.57,3.585,CONNECTED,WARNING
28.6,1.248,3.852,CONNECTED,CRITICAL
17.24,1.321,3.393,CONNECTED,CRITICAL
14.27,0.676,3.574,CONNECTED,WARNING
15.33,0.741,3.801,CONNECTED,NORMAL
12.67,0.773,3.305,CONNECTED,CRITICAL
16.92,0.803,3.495,CONNECTED,CRITICAL
10.02,1.263,3.944,CONNECTED,CRITICAL
18.93,1.143,3.894,CONNECTED,WARNING
35.96,1.114,3.912,DISCONNECTED,CRITICAL
32.89,1.291,3.569,DISCONNECTED,CRITICAL
4.76,0.516,3.582,CONNECTED,WARNING
18.81,0.907,3.655,CONNECTED,WARNING
20.77,1.337,3.287,CONNECTED,CRITICAL
9.66,1.293,3.878,CONNECTED,CRITICAL
35.82,1.373,3.912,DISCONNECTED,CRITICAL
12.69,0.902,3.414,CONNECTED,CRITICAL
22.61,1.439,3.476,CONNECTED,CRITICAL
20.94,0.796,3.336,CONNECTED,CRITICAL
8.64,0.558,3.959,CONNECTED,NORMAL
15.7,1.334,3.745,CONNECTED,CRITICAL
8.53,0.675,3.85,CONNECTED,NORMAL
11.0,1.413,3.312,CONNECTED,CRITICAL
25.04,1.314,3.388,CONNECTED,CRITICAL
11.39,1.465,3.412,CONNECTED,CRITICAL
16.62,0.933,3.402,CONNECTED,CRITICAL
28.38,1.272,3.503,CONNECTED,CRITICAL
30.39,0.713,3.203,DISCONNECTED,CRITICAL
21.42,1.494,3.231,CONNECTED,CRITICAL
9.07,1.019,3.848,CONNECTED,WARNING
